GridType, Algo, NBoat, Cost, AWD, NCharging, NCS, Time, BtPosFName, BPerm, SPath 
sq, xTSPGray-nearest_insertion, 11, 289792.22, 139136.739, 22, 31, 0.058, boatPos-0003.csv, B2-B5-B6-B7-B8-B4-B10-B1-B3-B9-B11, --BS1->18->B2--B2->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->26->20->B4--B4->20->21->22->B10--B10->15->9->B1--B1->9->B3--B3->9->14->B9--B9->13->B11--B11->13->12->BS1 
sq, xTSPRedGray-farthest_insertion, 11, 262824.101, 113253.739, 16, 31, 0.07, boatPos-0003.csv, B2-B5-B6-B7-B8-B4-B9-B10-B1-B3-B11, --BS1->B2->18--18->B5->24--24->B6--B6->24->B7->25--25->30->B8--B8->26->20->B4--B4->13->B9--B9->14->15->B10--B10->15->9->B1--B1->9->B3--B3->8->13->B11--B11->12->BS1 
sq, xTSPGray-farthest_insertion, 11, 301450.485, 139468.073, 22, 31, 0.055, boatPos-0003.csv, B2-B5-B6-B7-B8-B10-B1-B3-B9-B4-B11, --BS1->18->B2--B2->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->27->22->B10--B10->15->9->B1--B1->9->B3--B3->9->14->B9--B9->13->20->B4--B4->20->13->B11--B11->13->12->BS1 
sq, xTSPRedGray-cheapest_insertion, 11, 280250.912, 141293.008, 17, 31, 0.091, boatPos-0003.csv, B11-B9-B3-B1-B10-B4-B8-B2-B7-B6-B5, --BS1->12->B11->13--13->B9--B9->14->9->B3--B3->9->B1--B1->9->15->B10--B10->21->B4->20--20->26->B8->30--30->25->19->B2--B2->19->B7->25--25->B6->24--24->B5--B5->18->BS1 
sq, xTSPGray-cheapest_insertion, 11, 289792.22, 139136.739, 22, 31, 0.052, boatPos-0003.csv, B2-B5-B6-B7-B8-B4-B10-B1-B3-B9-B11, --BS1->18->B2--B2->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->26->20->B4--B4->20->21->22->B10--B10->15->9->B1--B1->9->B3--B3->9->14->B9--B9->13->B11--B11->13->12->BS1 
sq, xTSPRedGray-arbitrary_insertion, 11, 263983.624, 144014.788, 16, 31, 0.07, boatPos-0003.csv, B11-B4-B9-B3-B1-B10-B8-B7-B6-B5-B2, --BS1->12->B11->13--13->B4->20--20->13->B9--B9->14->9->B3--B3->9->B1--B1->9->15->B10--B10->21->27->B8->30--30->25->B7--B7->24->B6--B6->24->B5--B5->18->B2--B2->BS1 
sq, xTSPGray-arbitrary_insertion, 11, 289792.22, 139136.739, 22, 31, 0.051, boatPos-0003.csv, B2-B5-B6-B7-B8-B4-B10-B1-B3-B9-B11, --BS1->18->B2--B2->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->26->20->B4--B4->20->21->22->B10--B10->15->9->B1--B1->9->B3--B3->9->14->B9--B9->13->B11--B11->13->12->BS1 
sq, xTSPRedGray-nn, 11, 293609.413, 150270.463, 17, 31, 0.069, boatPos-0003.csv, B11-B9-B4-B10-B3-B1-B8-B6-B5-B7-B2, --BS1->12->B11->13--13->B9--B9->13->B4->20--20->21->B10->22--22->15->B3->9--9->B1--B1->16->22->27->B8->30--30->29->B6->24--24->B5--B5->24->B7->25--25->19->B2--B2->BS1 
sq, xTSPGray-nn, 11, 352182.212, 165795.088, 25, 31, 0.074, boatPos-0003.csv, B8-B7-B6-B5-B2-B11-B4-B9-B10-B3-B1, --BS1->19->25->30->B8--B8->30->25->B7--B7->25->24->B6--B6->24->B5--B5->24->18->B2--B2->19->13->B11--B11->13->20->B4--B4->20->13->B9--B9->14->15->B10--B10->15->9->B3--B3->9->B1--B1->9->14->13->12->BS1 
sq, xTSPRedGray-repetitive_nn, 11, 276826.032, 130312.773, 16, 31, 0.081, boatPos-0003.csv, B2-B5-B6-B7-B8-B1-B3-B10-B4-B9-B11, --BS1->B2->18--18->B5->24--24->B6--B6->24->B7->25--25->30->B8--B8->27->22->16->B1->10--10->9->B3--B3->15->B10--B10->21->B4->20--20->13->B9--B9->13->B11--B11->12->BS1 
sq, xTSPGray-repetitive_nn, 11, 322569.231, 153882.06, 24, 31, 0.058, boatPos-0003.csv, B2-B5-B6-B7-B8-B1-B3-B10-B4-B9-B11, --BS1->18->B2--B2->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->27->22->15->9->B1--B1->9->B3--B3->9->15->B10--B10->22->21->20->B4--B4->20->13->B9--B9->13->B11--B11->13->12->BS1 
sq, xTSPRedGray-two_opt, 11, 263983.624, 144014.788, 16, 31, 0.07, boatPos-0003.csv, B11-B4-B9-B3-B1-B10-B8-B7-B6-B5-B2, --BS1->12->B11->13--13->B4->20--20->13->B9--B9->14->9->B3--B3->9->B1--B1->9->15->B10--B10->21->27->B8->30--30->25->B7--B7->24->B6--B6->24->B5--B5->18->B2--B2->BS1 
sq, xTSPGray-two_opt, 11, 308352.266, 139902.679, 23, 31, 0.059, boatPos-0003.csv, B5-B6-B7-B8-B4-B11-B9-B3-B1-B10-B2, --BS1->18->24->B5--B5->24->B6--B6->24->25->B7--B7->25->30->B8--B8->30->26->20->B4--B4->20->13->B11--B11->13->B9--B9->14->9->B3--B3->9->B1--B1->9->15->B10--B10->22->21->20->19->B2--B2->18->BS1 
tri, clookRedGray, 11, 318921.754, 176293.268, 19, 25, 0.07, boatPos-0004.csv, B10-B1-B9-B2-B11-B5-B4-B8-B6-B7-B3, --BS1->5->4->B10--B10->4->8->B1->11--11->8->B9->5--5->10->B2->14--14->B11--B11->14->B5--B5->10->13->B4--B4->13->B8->10--10->13->B6--B6->13->B7->16--16->B3--B3->9->7->BS1 
tri, clookGray, 11, 366067.072, 162542.677, 24, 25, 0.057, boatPos-0004.csv, B3-B7-B6-B8-B4-B5-B11-B2-B9-B1-B10, --BS1->7->9->B3--B3->16->B7--B7->16->13->B6--B6->13->10->B8--B8->10->13->B4--B4->13->10->B5--B5->14->B11--B11->14->B2--B2->14->8->5->B9--B9->5->8->11->B1--B1->11->6->4->B10--B10->4->5->BS1 
tri, concaveTSPRedGray, 11, 277280.051, 133414.543, 16, 25, 0.088, boatPos-0004.csv, B6-B3-B7-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->B6->13--13->16->B3--B3->16->B7--B7->13->B4--B4->13->B8->10--10->14->B11--B11->14->B5--B5->14->B2--B2->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, concaveTSPGray, 11, 313109.992, 156019.468, 21, 25, 0.056, boatPos-0004.csv, B6-B3-B7-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->B8--B8->10->14->B11--B11->14->B5--B5->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-nearest_insertion, 11, 272434.387, 148273.838, 15, 25, 0.063, boatPos-0004.csv, B10-B9-B5-B2-B1-B11-B4-B7-B3-B6-B8, --BS1->5->4->B10--B10->4->5->B9--B9->10->B5--B5->14->B2--B2->14->B1->11--11->14->B11--B11->17->B4->13--13->B7->16--16->B3--B3->9->B6->13--13->B8->10--10->BS1 
tri, xTSPGray-nearest_insertion, 11, 312770.46, 146061.71, 21, 25, 0.049, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B9-B10, --BS1->7->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->B8--B8->10->B5--B5->14->B11--B11->14->B2--B2->14->11->B1--B1->11->8->5->B9--B9->5->4->B10--B10->4->5->BS1 
tri, xTSPRedGray-farthest_insertion, 11, 250942.274, 118814.21, 15, 25, 0.056, boatPos-0004.csv, B3-B7-B6-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->13->B6--B6->13->B4--B4->13->B8->10--10->B5--B5->14->B11--B11->14->B2--B2->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, xTSPGray-farthest_insertion, 11, 279608.308, 135216.293, 19, 25, 0.068, boatPos-0004.csv, B3-B7-B6-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->16->13->B6--B6->13->B4--B4->13->10->B8--B8->10->B5--B5->14->B11--B11->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-cheapest_insertion, 11, 272272.143, 151736.749, 15, 25, 0.065, boatPos-0004.csv, B10-B9-B1-B5-B2-B11-B4-B7-B3-B6-B8, --BS1->5->4->B10--B10->4->5->B9--B9->8->B1->11--11->14->B5--B5->14->B2--B2->14->B11--B11->17->B4->13--13->B7->16--16->B3--B3->9->B6->13--13->B8->10--10->BS1 
tri, xTSPGray-cheapest_insertion, 11, 341556.923, 158421.877, 22, 25, 0.048, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B2-B5-B1-B9-B10, --BS1->10->B8--B8->10->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->14->B11--B11->14->B2--B2->14->B5--B5->14->11->B1--B1->11->8->5->B9--B9->5->4->B10--B10->4->5->BS1 
tri, xTSPRedGray-arbitrary_insertion, 11, 261681.51, 138373.102, 14, 25, 0.063, boatPos-0004.csv, B9-B10-B1-B2-B5-B11-B4-B7-B3-B6-B8, --BS1->B9->5--5->4->B10--B10->4->8->B1->11--11->14->B2--B2->14->B5--B5->14->B11--B11->17->B4->13--13->B7->16--16->B3--B3->9->B6->13--13->B8->10--10->BS1 
tri, xTSPGray-arbitrary_insertion, 11, 295432.127, 146689.757, 20, 25, 0.049, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->7->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->B8--B8->10->B5--B5->14->B11--B11->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-nn, 11, 292936.886, 172382.406, 17, 25, 0.079, boatPos-0004.csv, B10-B7-B3-B6-B4-B8-B5-B2-B11-B1-B9, --BS1->5->4->B10--B10->4->8->10->13->B7->16--16->B3--B3->9->B6->13--13->B4--B4->13->B8->10--10->B5--B5->14->B2--B2->14->B11--B11->14->B1->11--11->8->B9->5--5->BS1 
tri, xTSPGray-nn, 11, 331924.012, 165823.491, 22, 25, 0.053, boatPos-0004.csv, B9-B10-B1-B2-B5-B11-B4-B8-B6-B7-B3, --BS1->5->B9--B9->5->4->B10--B10->4->6->11->B1--B1->11->14->B2--B2->14->B5--B5->14->B11--B11->14->10->13->B4--B4->13->10->B8--B8->10->13->B6--B6->13->16->B7--B7->16->B3--B3->9->7->BS1 
tri, xTSPRedGray-repetitive_nn, 11, 268620.139, 128143.92, 16, 25, 0.059, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->13->B6--B6->13->B4--B4->13->B8->10--10->14->B11--B11->14->B5--B5->14->B2--B2->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, xTSPGray-repetitive_nn, 11, 297286.173, 144546.003, 20, 25, 0.052, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->16->13->B6--B6->13->B4--B4->13->10->B8--B8->10->14->B11--B11->14->B5--B5->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->BS1 
tri, xTSPRedGray-two_opt, 11, 268620.139, 127560.449, 16, 25, 0.055, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B2-B5-B1-B10-B9, --BS1->7->9->B3--B3->16->B7--B7->13->B6--B6->13->B4--B4->13->B8->10--10->14->B11--B11->14->B2--B2->14->B5--B5->14->B1->11--11->6->4->B10--B10->4->5->B9--B9->BS1 
tri, xTSPGray-two_opt, 11, 337950.363, 167408.916, 22, 25, 0.093, boatPos-0004.csv, B6-B3-B7-B4-B11-B5-B2-B1-B10-B9-B8, --BS1->7->13->B6--B6->13->16->B3--B3->16->B7--B7->16->13->B4--B4->13->10->14->B11--B11->14->B5--B5->14->B2--B2->14->11->B1--B1->11->6->4->B10--B10->4->5->B9--B9->5->10->B8--B8->10->BS1 
sq, clookRedGray, 11, 264764.857, 142313.133, 16, 31, 0.082, boatPos-0004.csv, B10-B1-B9-B2-B11-B5-B4-B8-B6-B7-B3, --BS1->11->17->B10--B10->18->25->B1--B1->25->18->B9--B9->19->B2->20--20->B11--B11->20->B5--B5->20->B4->13--13->B8->12--12->B6--B6->7->B7--B7->7->B3--B3->7->12->BS1 
sq, clookGray, 11, 315017.413, 147170.101, 22, 31, 0.058, boatPos-0004.csv, B3-B7-B6-B8-B4-B5-B11-B2-B9-B1-B10, --BS1->12->7->B3--B3->7->B7--B7->7->13->B6--B6->12->B8--B8->12->13->B4--B4->13->20->B5--B5->20->B11--B11->20->B2--B2->20->19->18->B9--B9->18->25->B1--B1->25->24->23->B10--B10->17->11->BS1 
sq, concaveTSPRedGray, 11, 247242.096, 119136.86, 15, 31, 0.07, boatPos-0004.csv, B6-B3-B7-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->12->B6--B6->7->B3--B3->7->B7--B7->7->13->B4--B4->13->B8->12--12->20->B11--B11->20->B5--B5->20->B2--B2->25->B1--B1->25->18->B10->17--17->18->B9--B9->BS1 
sq, concaveTSPGray, 11, 285116.965, 138239.8, 20, 31, 0.058, boatPos-0004.csv, B6-B3-B7-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->12->B6--B6->13->7->B3--B3->7->B7--B7->7->13->B4--B4->13->12->B8--B8->19->20->B11--B11->20->B5--B5->20->B2--B2->26->25->B1--B1->25->24->23->B10--B10->17->18->B9--B9->18->BS1 
sq, xTSPRedGray-nearest_insertion, 11, 227000.608, 106090.837, 15, 31, 0.069, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B5-B2-B1-B9-B10, --BS1->12->B8--B8->12->B6--B6->7->B3--B3->7->B7--B7->7->13->B4--B4->20->B11--B11->20->B5--B5->20->B2--B2->25->B1--B1->25->18->B9--B9->18->B10->17--17->11->BS1 
sq, xTSPGray-nearest_insertion, 11, 262948.899, 123444.478, 19, 31, 0.32, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B5-B2-B1-B9-B10, --BS1->12->B8--B8->12->B6--B6->13->7->B3--B3->7->B7--B7->7->13->B4--B4->13->20->B11--B11->20->B5--B5->20->B2--B2->26->25->B1--B1->25->18->B9--B9->18->17->B10--B10->17->11->BS1 
sq, xTSPRedGray-farthest_insertion, 11, 245342.485, 118305.44, 15, 31, 0.059, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->12->B6--B6->7->B3--B3->7->B7--B7->7->13->B4--B4->13->B8->12--12->19->B5--B5->20->B11--B11->20->B2--B2->25->B1--B1->25->18->B10->17--17->18->B9--B9->BS1 
sq, xTSPGray-farthest_insertion, 11, 274983.446, 132917.158, 19, 31, 0.049, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->12->B6--B6->13->7->B3--B3->7->B7--B7->7->13->B4--B4->13->12->B8--B8->19->B5--B5->20->B11--B11->20->B2--B2->26->25->B1--B1->25->24->23->B10--B10->17->18->B9--B9->18->BS1 
sq, xTSPRedGray-cheapest_insertion, 11, 242099.547, 110744.779, 16, 31, 0.06, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B2-B5-B1-B9-B10, --BS1->12->B8--B8->12->B6--B6->7->B3--B3->7->B7--B7->7->13->B4--B4->20->B11--B11->20->B2--B2->20->B5--B5->19->25->B1--B1->25->18->B9--B9->18->B10->17--17->11->BS1 
sq, xTSPGray-cheapest_insertion, 11, 265762.415, 124747.85, 19, 31, 0.049, boatPos-0004.csv, B8-B6-B3-B7-B4-B11-B2-B5-B1-B9-B10, --BS1->12->B8--B8->12->B6--B6->13->7->B3--B3->7->B7--B7->7->13->B4--B4->13->20->B11--B11->20->B2--B2->20->B5--B5->19->25->B1--B1->25->18->B9--B9->18->17->B10--B10->17->11->BS1 
sq, xTSPRedGray-arbitrary_insertion, 11, 245342.485, 118305.44, 15, 31, 0.06, boatPos-0004.csv, B6-B3-B7-B4-B8-B5-B11-B2-B1-B10-B9, --BS1->12->B6--B6->7->B3--B3->7->B7--B7->7->13->B4--B4->13->B8->12--12->19->B5--B5->20->B11--B11->20->B2--B2->25->B1--B1->25->18->B10->17--17->18->B9--B9->BS1 
sq, xTSPGray-arbitrary_insertion, 11, 267532.053, 129337.345, 19, 31, 0.051, boatPos-0004.csv, B8-B7-B3-B6-B4-B11-B5-B2-B1-B9-B10, --BS1->12->B8--B8->12->7->B7--B7->7->B3--B3->7->13->B6--B6->13->B4--B4->13->20->B11--B11->20->B5--B5->20->B2--B2->26->25->B1--B1->25->18->B9--B9->18->17->B10--B10->17->11->BS1 
sq, xTSPRedGray-nn, 11, 268737.388, 121992.504, 16, 31, 0.072, boatPos-0004.csv, B9-B1-B11-B2-B5-B8-B4-B6-B7-B3-B10, --BS1->B9->18--18->25->B1--B1->25->26->B11--B11->20->B2--B2->20->B5--B5->19->B8--B8->13->B4--B4->13->B6--B6->7->B7--B7->7->B3--B3->7->12->18->B10->17--17->11->BS1 
sq, xTSPGray-nn, 11, 339569.633, 156430.018, 22, 31, 0.05, boatPos-0004.csv, B9-B1-B11-B2-B5-B8-B4-B10-B3-B7-B6, --BS1->18->B9--B9->18->25->B1--B1->25->26->B11--B11->20->B2--B2->20->B5--B5->19->B8--B8->12->13->B4--B4->13->19->18->17->B10--B10->17->18->12->7->B3--B3->7->B7--B7->7->13->B6--B6->12->BS1 
sq, xTSPRedGray-repetitive_nn, 11, 243321.13, 120665.648, 14, 31, 0.065, boatPos-0004.csv, B9-B10-B1-B2-B5-B11-B8-B4-B6-B7-B3, --BS1->B9->18--18->B10->17--17->24->25->B1--B1->25->B2->20--20->B5--B5->20->B11--B11->19->B8--B8->13->B4--B4->13->B6--B6->7->B7--B7->7->B3--B3->7->12->BS1 
sq, xTSPGray-repetitive_nn, 11, 289700.119, 144784.385, 20, 31, 0.052, boatPos-0004.csv, B3-B7-B6-B4-B8-B11-B5-B2-B1-B10-B9, --BS1->12->7->B3--B3->7->B7--B7->7->13->B6--B6->13->B4--B4->13->12->B8--B8->19->20->B11--B11->20->B5--B5->20->B2--B2->26->25->B1--B1->25->24->23->B10--B10->17->18->B9--B9->18->BS1 
sq, xTSPRedGray-two_opt, 11, 246407.954, 118985.296, 15, 31, 0.059, boatPos-0004.csv, B10-B9-B8-B5-B2-B1-B11-B4-B6-B7-B3, --BS1->11->17->B10--B10->18->B9--B9->19->B8--B8->19->B5--B5->20->B2--B2->25->B1--B1->25->26->B11--B11->20->B4->13--13->B6--B6->7->B7--B7->7->B3--B3->7->12->BS1 
sq, xTSPGray-two_opt, 11, 279455.732, 133235.175, 20, 31, 0.048, boatPos-0004.csv, B10-B9-B8-B6-B3-B7-B4-B11-B5-B2-B1, --BS1->11->17->B10--B10->17->18->B9--B9->18->19->B8--B8->12->B6--B6->13->7->B3--B3->7->B7--B7->7->13->B4--B4->13->20->B11--B11->20->B5--B5->20->B2--B2->26->25->B1--B1->25->19->BS1 
